package-name,Possible obfuscations,Length 1 identifier,Length 2 identifier,Length 3 identifier,new StringBuilder\(\),\bkotlin\b,\b.kotlin\b,@NotNull,goto,Reflection
com.androidemu.harvexueren.kkcsdjnvjfbvdfvdbvg,"[('add', 4), ('run', 49), ('D', 4), ('TAG', 3), ('K', 4), ('c', 181), ('mNM', 1), ('NS', 1), ('UP', 1), ('a', 706), ('d', 130), ('b', 300), ('e', 100), ('f', 79), ('g', 63), ('h', 54), ('i', 47), ('j', 38), ('k', 33), ('l', 28), ('m', 26), ('n', 25), ('o', 23), ('p', 23), ('q', 19), ('r', 14), ('s', 14), ('A', 7), ('B', 4), ('C', 3), ('E', 3), ('F', 3), ('t', 13), ('u', 12), ('v', 10), ('w', 8), ('x', 8), ('y', 8), ('z', 7), ('G', 2), ('H', 2), ('I', 2), ('J', 2), ('L', 2), ('M', 2), ('N', 2), ('O', 1), ('P', 1), ('Q', 1), ('R', 1), ('S', 1), ('T', 1), ('U', 1), ('V', 1), ('W', 1), ('X', 1), ('Y', 1), ('Z', 1), ('aa', 1), ('ab', 1), ('obfuscation-score', 0.5091920894285072)]",2023,4,57,292,0,0,0,0,"[('java.lang.reflect.Method', 4), ('java.lang.reflect.Field', 1), ('java.lang.reflect.Array', 1)]"
com.hodanet.jiangwen,"[('a', 2334), ('b', 891), ('c', 557), ('d', 413), ('e', 304), ('f', 243), ('g', 200), ('h', 155), ('i', 136), ('j', 111), ('k', 92), ('l', 77), ('m', 65), ('n', 54), ('o', 47), ('p', 42), ('q', 37), ('r', 34), ('s', 31), ('run', 87), ('A', 14), ('B', 13), ('C', 12), ('D', 8), ('E', 8), ('F', 8), ('G', 8), ('H', 8), ('I', 8), ('J', 8), ('K', 7), ('L', 6), ('M', 6), ('N', 6), ('O', 6), ('P', 6), ('Q', 6), ('R', 5), ('S', 5), ('T', 4), ('U', 3), ('V', 2), ('W', 2), ('X', 1), ('t', 27), ('u', 24), ('v', 21), ('w', 21), ('x', 19), ('y', 17), ('z', 15), ('Y', 1), ('Z', 2), ('ad', 1), ('aa', 1), ('ab', 1), ('ac', 1), ('ae', 1), ('af', 1), ('add', 3), ('get', 7), ('set', 3), ('map', 2), ('put', 10), ('out', 2), ('asm', 2), ('INT', 2), ('STR', 1), ('key', 4), ('cw', 1), ('DUP', 1), ('I2B', 1), ('I2C', 1), ('I2S', 1), ('JSR', 1), ('LDC', 1), ('NEW', 2), ('NOP', 1), ('POP', 1), ('RET', 1), ('buf', 3), ('len', 1), ('off', 1), ('pos', 3), ('END', 1), ('EOI', 1), ('bp', 1), ('ch', 1), ('np', 1), ('sp', 1), ('EOF', 1), ('SET', 1), ('var', 4), ('obj', 1), ('KEY', 1), ('CA', 1), ('IA', 1), ('low', 1), ('fwR', 1), ('log', 1), ('dd', 2), ('de', 2), ('di', 2), ('dw', 2), ('LOG', 1), ('obfuscation-score', 0.5191198392152316)]",6130,21,156,620,0,0,0,0,"[('java.lang.reflect.Modifier', 26), ('java.lang.reflect.Type', 183), ('java.lang.reflect.Array', 11), ('java.lang.reflect.Method', 13), ('java.lang.reflect.ParameterizedType', 50), ('java.lang.reflect.WildcardType', 5), ('java.lang.reflect.TypeVariable', 9), ('java.lang.reflect.Field', 15), ('java.lang.reflect.Constructor', 12), ('java.lang.reflect.Proxy', 3), ('java.lang.reflect.GenericArrayType', 2)]"
com.HSBapp.MShuncai,"[('cmd', 1), ('add', 8), ('TAG', 15), ('run', 16), ('tag', 1), ('mId', 2), ('b', 39), ('get', 7), ('gc', 2), ('put', 3), ('map', 1), ('TAP', 1), ('mTo', 1), ('pre', 2), ('sms', 2), ('msg', 2), ('id', 2), ('a', 97), ('c', 24), ('d', 18), ('e', 12), ('f', 10), ('g', 10), ('h', 10), ('i', 8), ('j', 8), ('k', 6), ('l', 6), ('m', 2), ('n', 2), ('o', 1), ('p', 1), ('q', 1), ('key', 1), ('obfuscation-score', 0.06111569202227682)]",255,4,63,219,0,0,0,0,"[('java.lang.reflect.Modifier', 1), ('java.lang.reflect.Method', 28), ('java.lang.reflect.Constructor', 4)]"
com.lee.changelockscreen,"[('cmd', 1), ('TAG', 22), ('run', 108), ('add', 9), ('mId', 2), ('get', 7), ('gc', 2), ('put', 3), ('map', 1), ('dta', 1), ('a', 1098), ('d', 220), ('b', 460), ('c', 290), ('e', 165), ('f', 129), ('g', 106), ('h', 88), ('i', 78), ('A', 16), ('B', 12), ('C', 11), ('D', 10), ('E', 9), ('F', 8), ('G', 8), ('H', 8), ('I', 7), ('J', 7), ('K', 7), ('L', 7), ('j', 64), ('k', 57), ('l', 51), ('m', 46), ('n', 43), ('o', 40), ('p', 39), ('q', 36), ('r', 34), ('s', 33), ('t', 27), ('u', 26), ('v', 26), ('w', 25), ('x', 23), ('y', 22), ('z', 17), ('M', 5), ('cen', 1), ('N', 4), ('O', 4), ('P', 4), ('Q', 4), ('R', 4), ('S', 3), ('T', 3), ('U', 3), ('V', 3), ('W', 2), ('X', 2), ('Y', 2), ('Z', 2), ('aa', 2), ('ab', 4), ('ac', 3), ('ad', 3), ('ae', 3), ('af', 3), ('ag', 3), ('ah', 3), ('ai', 3), ('aj', 3), ('ctx', 4), ('sp', 2), ('aab', 1), ('aac', 1), ('aad', 1), ('aae', 1), ('aaf', 1), ('aag', 1), ('aah', 1), ('ak', 2), ('am', 2), ('an', 2), ('ao', 2), ('ap', 2), ('aq', 2), ('ar', 2), ('as', 2), ('at', 2), ('au', 2), ('av', 2), ('aw', 2), ('ax', 2), ('ay', 2), ('az', 2), ('pru', 1), ('qai', 1), ('qdn', 1), ('qp', 1), ('qtt', 1), ('qv', 1), ('cop', 1), ('cp', 1), ('hd', 1), ('mh', 1), ('mmg', 1), ('nf', 1), ('ou', 1), ('pB', 1), ('pI', 1), ('pr', 1), ('sow', 1), ('t2', 1), ('t3', 1), ('urp', 1), ('con', 1), ('LOG', 1), ('aA', 1), ('aB', 1), ('aC', 1), ('aD', 1), ('aE', 1), ('aF', 1), ('aG', 1), ('aH', 1), ('aI', 1), ('aJ', 1), ('aK', 1), ('aL', 1), ('aM', 1), ('aN', 1), ('aO', 1), ('aP', 1), ('aQ', 1), ('al', 1), ('No', 1), ('Yes', 1), ('mTo', 1), ('obfuscation-score', 0.37434090171384876)]",3398,95,178,800,0,0,0,0,"[('java.lang.reflect.Array', 2), ('java.lang.reflect.Modifier', 1), ('java.lang.reflect.Method', 2)]"
fkjsgmjl.ceinnykas,"[('run', 4), ('obfuscation-score', 0.0007104214343129276)]",0,0,4,2,0,0,0,0,"[('java.lang.reflect.Method', 353)]"
com.smartprojects.RAMOptimization,"[('to', 2), ('max', 1), ('min', 1), ('run', 49), ('TAG', 65), ('cmd', 1), ('add', 20), ('tag', 3), ('mId', 4), ('b', 117), ('all', 1), ('id', 3), ('get', 15), ('LRE', 1), ('LRM', 1), ('PDF', 1), ('RLE', 1), ('RLM', 1), ('LTR', 1), ('RTL', 1), ('put', 6), ('gc', 2), ('map', 1), ('TAP', 1), ('END', 1), ('x', 12), ('xBy', 5), ('y', 11), ('yBy', 5), ('z', 9), ('zBy', 5), ('mX', 1), ('mY', 1), ('mTo', 1), ('P', 2), ('end', 1), ('up', 1), ('a', 337), ('c', 81), ('d', 59), ('e', 42), ('f', 34), ('g', 30), ('h', 27), ('i', 22), ('j', 19), ('k', 17), ('l', 15), ('m', 14), ('n', 13), ('o', 10), ('p', 11), ('q', 10), ('r', 10), ('s', 10), ('t', 8), ('u', 8), ('v', 8), ('w', 7), ('DBG', 2), ('A', 3), ('B', 3), ('C', 3), ('D', 2), ('E', 2), ('F', 2), ('G', 2), ('H', 2), ('I', 2), ('J', 2), ('K', 2), ('L', 1), ('M', 1), ('N', 1), ('O', 1), ('Q', 1), ('R', 1), ('S', 1), ('T', 1), ('U', 1), ('V', 1), ('W', 1), ('X', 1), ('Y', 1), ('Z', 1), ('aa', 1), ('ab', 1), ('ac', 1), ('obfuscation-score', 0.05603212105775731)]",982,13,195,455,0,0,0,0,"[('java.lang.reflect.Modifier', 1), ('java.lang.reflect.InvocationTargetException', 10), ('java.lang.reflect.Method', 8), ('java.lang.reflect.Array', 1), ('java.lang.reflect.Constructor', 5), ('java.lang.reflect.Field', 3)]"
com.chaojiyijianrootdashi95423,"[('red', 1), ('bg', 1), ('app', 1), ('su', 1), ('a', 153), ('b', 58), ('c', 36), ('d', 22), ('e', 14), ('f', 11), ('g', 11), ('h', 9), ('i', 9), ('j', 9), ('run', 29), ('k', 7), ('l', 7), ('m', 7), ('n', 7), ('p', 6), ('o', 6), ('q', 5), ('A', 2), ('B', 2), ('C', 2), ('D', 2), ('E', 2), ('r', 3), ('s', 3), ('t', 2), ('u', 2), ('v', 2), ('w', 2), ('x', 2), ('y', 2), ('z', 2), ('F', 1), ('G', 1), ('H', 1), ('I', 1), ('J', 1), ('eof', 1), ('end', 2), ('get', 2), ('opt', 2), ('put', 21), ('map', 1), ('has', 1), ('top', 1), ('pop', 1), ('key', 1), ('AMP', 1), ('EQ', 1), ('GT', 1), ('LT', 1), ('obfuscation-score', 0.3793861675190631)]",412,5,65,20,0,0,0,0,"[('java.lang.reflect.Field', 3), ('java.lang.reflect.Array', 2), ('java.lang.reflect.Method', 2), ('java.lang.reflect.Modifier', 1)]"
com.LZKapp.YEzhiliKF,"[('run', 42), ('id', 2), ('x', 1), ('y', 1), ('z', 1), ('win', 3), ('TAG', 25), ('PNG', 1), ('get', 9), ('opt', 1), ('url', 1), ('iso', 1), ('app', 2), ('GSM', 1), ('LTE', 1), ('UMB', 1), ('d', 5), ('e', 5), ('i', 3), ('v', 3), ('w', 3), ('ctx', 2), ('OK', 1), ('mId', 2), ('cmd', 1), ('add', 8), ('tag', 1), ('b', 6), ('TAP', 1), ('gc', 2), ('put', 3), ('map', 1), ('mTo', 1), ('a', 14), ('h', 1), ('c', 4), ('f', 2), ('g', 4), ('obfuscation-score', 0.012467350169702289)]",53,5,108,345,0,0,0,0,"[('java.lang.reflect.Method', 3), ('java.lang.reflect.InvocationTargetException', 8), ('java.lang.reflect.Field', 2), ('java.lang.reflect.Constructor', 2), ('java.lang.reflect.Modifier', 1)]"
com.droid.bimo,"[('a', 732), ('b', 460), ('c', 183), ('d', 151), ('run', 4), ('e', 122), ('f', 116), ('g', 91), ('h', 74), ('i', 60), ('k', 42), ('l', 37), ('m', 32), ('n', 30), ('j', 54), ('o', 22), ('p', 19), ('q', 16), ('r', 14), ('s', 13), ('t', 12), ('u', 12), ('v', 11), ('w', 10), ('x', 9), ('y', 9), ('A', 5), ('B', 4), ('C', 3), ('D', 2), ('E', 2), ('F', 2), ('G', 2), ('H', 2), ('I', 2), ('J', 2), ('K', 1), ('z', 5), ('L', 1), ('M', 1), ('obfuscation-score', 0.7247369304941625)]",2365,0,4,89,0,0,0,0,"[('java.lang.reflect.Method', 2)]"
info.eeeieke.jedecdleceeebed,"[('a', 302), ('b', 106), ('c', 74), ('d', 48), ('e', 26), ('f', 24), ('g', 23), ('h', 20), ('i', 11), ('j', 7), ('k', 9), ('l', 7), ('m', 4), ('n', 4), ('o', 3), ('p', 3), ('q', 3), ('r', 3), ('s', 3), ('v', 2), ('t', 1), ('u', 1), ('run', 9), ('w', 1), ('obfuscation-score', 0.6045973722899819)]",685,0,9,35,0,0,0,0,"[('java.lang.reflect.Method', 3)]"
